epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.7667,5.41696,9.99975,3.2989,0.00083,0.00628,0.00042,0.00015,3.42421,6.27078,2.00612,0.00012,0.00012,0.00012
2,110.467,3.97714,6.83446,2.18496,0.00318,0.02397,0.0018,0.00103,3.49202,5.82544,1.80745,0.000257426,0.000257426,0.000257426
3,163.493,2.9233,4.89258,1.63529,0.00462,0.03482,0.00252,0.00111,2.17641,4.75377,1.4345,0.00039208,0.00039208,0.00039208
4,220.555,2.47653,4.26472,1.53401,0.00515,0.03881,0.00281,0.00129,2.16151,4.74038,1.34404,0.000523962,0.000523962,0.000523962
5,271.199,2.26712,3.36923,1.35342,0.00924,0.06963,0.00504,0.00147,2.13292,4.63908,1.31043,0.000653072,0.000653072,0.000653072
6,326.53,2.21951,3.21397,1.34647,0.00523,0.03938,0.0028,0.00116,2.64599,4.9901,1.46475,0.00077941,0.00077941,0.00077941
7,383.857,1.75663,2.82713,1.18888,0.0103,0.07763,0.00567,0.00272,1.86653,9.96449,1.39385,0.000902976,0.000902976,0.000902976
8,443.822,1.86256,2.74242,1.21961,0.01038,0.0782,0.00584,0.00244,1.68233,5.82174,1.33378,0.00102377,0.00102377,0.00102377
9,504.613,1.81438,2.63017,1.1899,0.00652,0.04909,0.00354,0.00144,1.61219,37.6715,1.31501,0.00114179,0.00114179,0.00114179
10,567.116,1.77918,2.36274,1.12613,0.54098,0.02086,0.02608,0.01217,1.14944,2.72171,1.17595,0.00125704,0.00125704,0.00125704
11,628.023,1.47626,2.25482,1.08252,0.58972,0.01769,0.01747,0.00529,1.72449,2.81952,1.40798,0.00136952,0.00136952,0.00136952
12,688.598,1.661,2.05989,1.10643,0.00621,0.0468,0.00439,0.00162,1.85237,3.30986,1.45422,0.00147923,0.00147923,0.00147923
13,750.076,1.59086,2.36403,1.08682,0.00568,0.04281,0.00506,0.0017,1.82485,3.14388,1.46461,0.00158616,0.00158616,0.00158616
14,810.916,1.66669,2.01941,1.13494,0.22896,0.0137,0.00874,0.00306,1.81156,2.70293,1.43584,0.00169032,0.00169032,0.00169032
15,871.124,1.55576,2.07293,1.10893,0.15837,0.01541,0.00864,0.00256,3.05296,3.12455,2.0012,0.0017228,0.0017228,0.0017228
16,930.762,1.66453,2.07563,1.09948,0.11687,0.00571,0.00568,0.00127,3.73396,3.25482,2.28662,0.001703,0.001703,0.001703
17,990.386,1.66694,1.98895,1.15939,0.06526,0.00514,0.0039,0.00104,3.32286,3.6546,2.0206,0.0016832,0.0016832,0.0016832
18,1055.59,1.59062,2.09122,1.08386,0.00318,0.02397,0.00177,0.00049,2.66131,4.15826,1.69286,0.0016634,0.0016634,0.0016634
19,1118.76,1.54068,1.90119,1.02867,0.02139,0.004,0.0066,0.00336,2.70819,3.16994,1.71051,0.0016436,0.0016436,0.0016436
20,1180.61,1.57567,1.75983,1.06711,0.24678,0.02226,0.02153,0.00676,2.36186,2.6089,1.60391,0.0016238,0.0016238,0.0016238
21,1236.59,1.31885,1.65743,1.00243,0.21857,0.0234,0.01918,0.0087,2.36631,2.74569,1.65684,0.001604,0.001604,0.001604
22,1298.51,1.35651,1.64157,1.0117,0.1489,0.02226,0.00895,0.0033,1.88345,2.77337,1.42496,0.0015842,0.0015842,0.0015842
23,1353.78,1.20349,1.54597,0.97596,0.19597,0.02683,0.01947,0.00778,1.47795,2.23426,1.26439,0.0015644,0.0015644,0.0015644
24,1413.1,1.36035,1.50748,1.01615,0.22556,0.02854,0.02627,0.01442,1.22587,1.82212,1.1671,0.0015446,0.0015446,0.0015446
25,1478.46,1.34417,1.51651,0.99694,0.17522,0.02626,0.0281,0.01588,1.28293,1.98123,1.15491,0.0015248,0.0015248,0.0015248
26,1535.32,1.33026,1.51707,1.04948,0.38328,0.02454,0.02522,0.01679,1.07835,1.96727,1.07923,0.001505,0.001505,0.001505
27,1595.43,1.29814,1.44509,0.95916,0.15602,0.02596,0.02063,0.00968,1.30319,1.94541,1.19665,0.0014852,0.0014852,0.0014852
28,1655.42,1.22465,1.52542,1.01707,0.21153,0.02283,0.012,0.00321,1.83542,3.0633,1.44689,0.0014654,0.0014654,0.0014654
29,1717.66,1.32527,1.43892,0.98749,0.12825,0.02454,0.01504,0.00441,1.77093,2.41511,1.39824,0.0014456,0.0014456,0.0014456
30,1781.26,1.11037,1.33232,0.94798,0.19708,0.03139,0.02047,0.01288,1.07005,1.78484,1.08645,0.0014258,0.0014258,0.0014258
31,1840.75,1.18131,1.32121,0.95624,0.19913,0.02511,0.01806,0.01195,0.9182,1.80447,1.04244,0.001406,0.001406,0.001406
32,1901.47,1.17253,1.20182,0.94409,0.17646,0.02454,0.0164,0.00909,1.02389,1.83049,1.06778,0.0013862,0.0013862,0.0013862
33,1959.91,1.18449,1.24934,0.92388,0.19868,0.02511,0.01661,0.00937,1.02268,1.8567,1.06453,0.0013664,0.0013664,0.0013664
34,2014.31,1.08325,1.16851,0.92776,0.33257,0.0234,0.01746,0.00522,1.68184,2.08218,1.24348,0.0013466,0.0013466,0.0013466
35,2071.19,1.09871,1.19415,0.93652,0.38126,0.0234,0.02339,0.00775,1.87141,1.9284,1.31411,0.0013268,0.0013268,0.0013268
36,2125.35,1.15218,1.12995,0.93215,0.34363,0.02511,0.02507,0.01261,1.44147,1.64103,1.20142,0.001307,0.001307,0.001307
37,2180.18,1.09554,1.17376,0.93609,0.31351,0.02511,0.02257,0.01169,1.30045,1.58972,1.16264,0.0012872,0.0012872,0.0012872
38,2238.15,1.15698,1.1857,0.9731,0.33903,0.02511,0.01969,0.0108,1.20598,1.63961,1.11763,0.0012674,0.0012674,0.0012674
39,2302.53,1.37075,1.2534,0.97906,0.46313,0.02511,0.02379,0.00853,2.17718,2.17297,1.38437,0.0012476,0.0012476,0.0012476
40,2365.47,1.32018,1.3013,0.97008,0.41231,0.02723,0.01932,0.00842,1.63184,2.13303,1.25128,0.0012278,0.0012278,0.0012278
41,2420.46,1.18018,1.14324,0.96613,0.3642,0.03025,0.01914,0.00942,1.4042,2.06948,1.1957,0.001208,0.001208,0.001208
42,2483.44,1.23353,1.22706,0.98314,0.28663,0.02683,0.0144,0.00675,1.31267,2.07918,1.16173,0.0011882,0.0011882,0.0011882
43,2544.53,1.1501,1.15054,0.93052,0.24139,0.02397,0.01513,0.00709,1.36558,1.98611,1.18529,0.0011684,0.0011684,0.0011684
